Disease_ID,Disease_Name
0,"Skull Fracture, Basilar"
1,Blind Loop Syndrome
2,Mastocytoma
3,"Carcinoma, Adenoid Cystic"
4,Salivary Duct Calculi
5,Mycoplasmatales Infections
6,Biliary Tract Neoplasms
7,Pallister-Hall Syndrome
8,Gardner Syndrome
9,"Osteoarthritis, Hip"
10,Uniparental Disomy
11,Aspartylglucosaminuria
12,Hyphema
13,"Granuloma, Plasma Cell"
14,Tabes Dorsalis
15,Cerebrovascular Disorders
16,Eye Injuries
17,Alcohol Withdrawal Delirium
18,Anterior Wall Myocardial Infarction
19,Neurilemmoma
20,"Meningitis, Escherichia coli"
21,"Carcinoma, Hepatocellular"
22,Feline Acquired Immunodeficiency Syndrome
23,Substance-Related Disorders
24,"Muscular Dystrophy, Duchenne"
25,Trichinellosis
26,Hyperkalemia
27,Lipid Metabolism Disorders
28,Severe Combined Immunodeficiency
29,Neurogenic Inflammation
30,Sertoli Cell Tumor
31,Amblyopia
32,Pulmonary Valve Insufficiency
33,"Anus, Imperforate"
34,Subphrenic Abscess
35,"Dermatitis, Allergic Contact"
36,Pulmonary Valve Stenosis
37,Erythema
38,Conjunctival Diseases
39,"Hyperlipidemia, Familial Combined"
40,Nelson Syndrome
41,Obsessive-Compulsive Disorder
42,Pancreatic Fistula
43,Rift Valley Fever
44,"Neoplasms, Second Primary"
45,Leukoencephalopathies
46,Hammer Toe Syndrome
47,Pica
48,Gingival Hypertrophy
49,Hypophosphatasia
50,Vitamin B 12 Deficiency
51,Contracture
52,"Pneumonia, Progressive Interstitial, of Sheep"
53,Multicystic Dysplastic Kidney
54,Testicular Hydrocele
55,Bile Duct Neoplasms
56,Anaplasmosis
57,Arcus Senilis
58,Pseudohypoparathyroidism
59,Myocardial Infarction
60,Lipomatosis
61,Nephrotic Syndrome
62,Sunburn
63,Angioedema
64,Central Cord Syndrome
65,"Hydatidiform Mole, Invasive"
66,Insulin Resistance
67,Hyperprolactinemia
68,Hypothalamic Diseases
69,Churg-Strauss Syndrome
70,"Sarcoma, Small Cell"
71,"Glaucoma, Angle-Closure"
72,"Osteoporosis, Postmenopausal"
73,Renal Aminoacidurias
74,Dental Calculus
75,"Neuritis, Autoimmune, Experimental"
76,Syphilis
77,"Anemia, Hypochromic"
78,Psychomotor Disorders
79,Euthyroid Sick Syndromes
80,Chronic Periodontitis
81,Double Outlet Right Ventricle
82,Epilepsy
83,"Hypertrophy, Right Ventricular"
84,Premenstrual Syndrome
85,"Shock, Cardiogenic"
86,Laryngomalacia
87,Hymenolepiasis
88,Rectocele
89,"Lymphoma, Primary Effusion"
90,Back Injuries
91,Opsoclonus-Myoclonus Syndrome
92,"Sweating, Gustatory"
93,Polyhydramnios
94,Tongue Diseases
95,Brain Stem Neoplasms
96,Thrombotic Microangiopathies
97,Lyme Neuroborreliosis
98,Laron Syndrome
99,Choledochal Cyst
100,Short Bowel Syndrome
101,Mycoplasma Infections
102,"Tachycardia, Ventricular"
103,Placenta Previa
104,Alkaptonuria
105,Neurofibrosarcoma
106,Hypopigmentation
107,Liposarcoma
108,Hallux Limitus
109,Papilloma
110,"Paraparesis, Tropical Spastic"
111,"Lung Diseases, Obstructive"
112,Cadmium Poisoning
113,Lymphangioma
114,"Death, Sudden"
115,Dens in Dente
116,Akinetic Mutism
117,Heart Diseases
118,Leukopenia
119,Myxoma
120,"Skin Diseases, Vesiculobullous"
121,Tympanic Membrane Perforation
122,Leptospirosis
123,Cavernous Sinus Thrombosis
124,Hypohidrosis
125,Striatonigral Degeneration
126,"Adenoma, Sweat Gland"
127,Angiomyolipoma
128,Neuroleptic Malignant Syndrome
129,Shoulder Dislocation
130,"Fluorosis, Dental"
131,Olfactory Nerve Diseases
132,Nesidioblastosis
133,"Constriction, Pathologic"
134,Mycobacterium avium-intracellulare Infection
135,"Thrombocytopenia, Neonatal Alloimmune"
136,Radiation Injuries
